stop_id,stop_name,stop_lon,stop_lat
41365,CONCORDE/ASSOMPTION,-73.672807,45.587499
41366,CONCORDE/ASSOMPTION,-73.672898,45.587849
41367,CONCORDE/CHAMPLAIN,-73.670561,45.59003
41368,CONCORDE/CHAMPLAIN,-73.671364,45.589514
41369,CONCORDE/CALLIERES,-73.669858,45.591075
41370,CONCORDE/DEAUVILLE,-73.714759,45.558705
41371,CONCORDE/FACE AU 2900,-73.670089,45.5913
41372,CONCORDE/CALLIERES,-73.667675,45.592683
41373,C. ACHAT DUVERNAY,-73.666416,45.593141
41374,C. ACHAT DUVERNAY,-73.667416,45.593094
41376,CONCORDE/AUTEUIL,-73.664328,45.593572
41377,CONCORDE/JOLY,-73.662287,45.594209
41378,CONCORDE/JOLY,-73.662728,45.594253
41379,CONCORDE/BUDAPEST,-73.661023,45.595158
41380,CONCORDE/LAVAL,-73.712252,45.55969
41381,CONCORDE/BEAUGRAND,-73.661027,45.595578
41382,CONCORDE/LESAGE,-73.659413,45.596765
41383,CONCORDE/LESAGE,-73.659762,45.596849
41384,DE LA CONCORDE/JACQUES-BRODEUR,-73.65748,45.598716
41385,CONCORDE/S. SYLVAIN,-73.657985,45.59866
41386,CONCORDE/MONDOR,-73.65576,45.600463
41387,CONCORDE/PARC,-73.655991,45.600677
41388,CONCORDE/FACE AU 4100,-73.654456,45.601625
41389,CONCORDE/R.-DE-LIMA,-73.654188,45.602066
41390,CONCORDE/VANIER,-73.650706,45.603645
41391,CONCORDE/LAVAL,-73.712662,45.559797
41392,CONCORDE/VANIER,-73.650591,45.604033
41393,CONCORDE/LEVESQUE,-73.648602,45.603307
41394,CONCORDE/LEVESQUE,-73.648445,45.603636
41395,METRO CONCORDE,-73.708761,45.561451
41409,C. LABELLE/80E AV.,-73.740337,45.537309
41410,C. LABELLE/SAMSON,-73.7435,45.537294
41411,C. LABELLE/SAMSON,-73.744858,45.537615
41412,C. LABELLE/PERRON,-73.745605,45.538441
41413,C. LABELLE/PERRON,-73.746028,45.538575
41414,C. LABELLE/N. DAME,-73.748048,45.540812
41415,C. LABELLE/N. DAME,-73.749204,45.54152
